,Unnamed: 0,time,licor_par,cruise,pop,n_per_uL,c_per_uL,lat,lon,temp,salinity,par,diam_med,hour,round_lat,round_lon,scalar,chla_eco,sat_par,sun_zen_angle,new_sun_zen,transmission
318,318,2021-12-05 03:00:00+00:00,5.657017383333334,TN397_740,prochloro,41.94047441,4.680438405,0.2938375,-139.8673096,24.97847208,34.81541708,12.23645,0.111597174,3,0.5,-140.0,7.457034,0.8520989381993517,8.37982365,87.48248411921035,87.48248411921035,0.575325813474261
319,319,2021-12-05 04:00:00+00:00,0.0429305433333333,TN397_740,prochloro,32.28515598,3.626764871,0.311686667,-139.8462612,24.9092025,34.81556292,0.02305,0.112335368,4,0.5,-140.0,7.5438423,1.079270376919096,0.01376265,101.57833060063976,78.42166939936024,0.5717011413363711
320,320,2021-12-05 05:00:00+00:00,-0.0093497283333333,TN397_740,prochloro,23.89981946,2.575756317,0.3554,-139.7486108,24.86484375,34.81769875,0.0241,0.107773045,5,0.5,-139.5,7.354187,1.1550146679212023,0.0151107,115.79124910883137,64.20875089116863,0.5778251762044646
321,321,2021-12-05 06:00:00+00:00,-0.0091499816666666,TN397_740,prochloro,14.9790578,1.576635599,0.358650865,-139.6275215,24.81479833,34.83314647,0.02555,0.105255993,6,0.5,-139.5,7.2329144,1.3176953113967866,0.0151107,129.19549536966153,50.80450463033847,0.5883622330011644
322,322,2021-12-05 07:00:00+00:00,-0.0091294716666666,TN397_740,prochloro,7.193612501,0.762897121,0.36668025,-139.6197663,24.772214,34.83742675,0.0233,0.106052018,7,0.5,-139.5,7.2558675,1.35854857142857,0.0144836999999999,141.80972776761018,38.190272232389816,0.5988478200551005
323,323,2021-12-05 08:00:00+00:00,-0.0089805333333333,TN397_740,prochloro,2.955697362,0.327613084,0.359796827,-139.7700192,24.72276003,34.8298567,0.0256,0.110841214,8,0.5,-140.0,7.195395,1.2262910312403494,0.0161139,152.15338673929094,27.846613260709063,0.6062904970153218
324,324,2021-12-05 18:00:00+00:00,995.9203389830508,TN397_740,prochloro,125.9350401,9.20747896,0.389014103,-139.8091423,24.57105192,34.85444038,2199.019923,0.073112924,18,0.5,-140.0,7.8051596,0.4041618017651936,1157.61129,51.76796324369616,51.76796324369616,0.5899562483216666
325,325,2021-12-05 19:00:00+00:00,1459.5963333333334,TN397_740,prochloro,149.5325861,11.2287851,0.268573684,-139.8774114,24.58712061,34.86672895,2348.472474,0.075092563,19,0.5,-140.0,7.720772,0.3097821664915967,1462.9481889,39.25182130434949,39.25182130434949,0.599354103216144
326,326,2021-12-05 20:00:00+00:00,1709.4421666666667,TN397_740,prochloro,53.89743364,4.197887802,0.095465833,-139.9602862,24.62065583,34.88468167,2529.4067,0.077886599,20,0.0,-140.0,7.329971,0.3014632503684696,1499.3785818,28.31430051515807,28.31430051515807,0.6063874186598236
327,327,2021-12-05 21:00:00+00:00,1822.5366666666664,TN397_740,prochloro,57.87520238,4.468661743,-0.078345288,-140.0000839,24.70900471,34.90717869,2426.17335,0.077212028,21,-0.0,-140.0,7.1421375,0.2924366934395896,1497.82772865,22.62121424818416,22.62121424818416,0.6097364798958069
328,328,2021-12-05 22:00:00+00:00,1391.2876666666666,TN397_740,prochloro,82.35121761,6.025974584,-0.203483333,-140.000931,24.78837262,34.92524762,2502.563714,0.07317408,22,-0.0,-140.0,7.29205,0.3387540266342962,1374.9680505,25.45150321255764,25.45150321255764,0.6085427446532209
329,329,2021-12-05 23:00:00+00:00,1554.1899999999998,TN397_740,prochloro,43.65675854,3.532843539,-0.484340972,-140.0009816,25.02948819,34.99612188,2303.1245,0.080923176,23,-0.5,-140.0,7.00395,0.3418394863866804,1479.3684097500002,34.44345212520331,34.44345212520331,0.601449641321821
330,330,2021-12-06 01:00:00+00:00,758.5995,TN397_740,prochloro,29.47649534,2.613138268,-0.7801175,-140.0011533,25.08446083,34.9960775,1944.57055,0.088651593,1,-1.0,-140.0,7.0060825,0.6008125435806069,1219.24573485,59.5605183953451,59.5605183953451,0.5806699326389316
331,331,2021-12-06 02:00:00+00:00,234.59073333333333,TN397_740,prochloro,29.67671039,2.829994839,-0.965981859,-139.9996839,25.10093109,35.0115034,1094.11935,0.0953608,2,-1.0,-140.0,8.103376,0.7387649974281844,686.01283245,73.20093567699047,73.20093567699047,0.57467408344989
332,332,2021-12-06 03:00:00+00:00,10.272940015833331,TN397_740,prochloro,26.24880905,2.545854077,-1.135719167,-140.0005521,25.09698542,35.03429,40.94865,0.096989318,3,-1.0,-140.0,8.128905,1.0281657679687586,25.67480355,86.85013658095123,86.85013658095123,0.5767995799693291
333,333,2021-12-06 04:00:00+00:00,-0.0097133933333333,TN397_740,prochloro,18.74242252,1.753244523,-1.3213575,-139.9995754,25.20965042,35.10254708,0.0246,0.093544179,4,-1.5,-140.0,8.342569,1.2322845856021325,0.0154242,100.6865878293289,79.3134121706711,0.5729058209997772
334,334,2021-12-06 05:00:00+00:00,-0.0103064666666666,TN397_740,prochloro,10.71304192,0.896474958,-1.496112083,-140.0015788,25.56562,35.23995583,0.0177,0.08368071,5,-1.5,-140.0,8.3370285,1.039552943063222,0.011286,114.366834494996,65.633165505004,0.5816088060489646
335,335,2021-12-06 06:00:00+00:00,-0.0103474666666666,TN397_740,prochloro,6.138101046,0.497830836,-1.688154551,-140.0004136,25.78233103,35.29983785,0.01525,0.081105025,6,-1.5,-140.0,8.612933,0.954972288032328,0.0089974499999999,127.63903597949644,52.36096402050356,0.59228441621248
336,336,2021-12-06 07:00:00+00:00,-0.0103430133333333,TN397_740,prochloro,3.040314896,0.252506728,-1.868445833,-140.0051479,25.85189917,35.30680542,0.016,0.083052821,7,-2.0,-140.0,8.64073,0.9235797771407808,0.010032,139.72037159136082,40.279628408639184,0.601491237261225
337,337,2021-12-06 08:00:00+00:00,-0.0101849616666666,TN397_740,prochloro,1.678421073,0.146288548,-2.061169583,-140.0063892,25.91447417,35.29179375,0.0202,0.087158431,8,-2.0,-140.0,8.853116,0.8538063161744388,0.0126654,149.96413667476338,30.03586332523662,0.6102052169023301
338,338,2021-12-06 09:00:00+00:00,-0.0105718499999999,TN397_740,prochloro,1.463702575,0.138785485,-2.228148654,-140.0008232,25.95412407,35.26689888,0.02085,0.094818092,9,-2.0,-140.0,9.010563,0.9280108377223728,0.01307295,155.316717512144,24.68328248785599,0.61445609000118
339,339,2021-12-06 18:00:00+00:00,816.8978333333333,TN397_740,prochloro,0.632289875,0.063594636,-2.472288333,-140.0311433,26.05923917,35.24997792,1510.71205,0.100578293,18,-2.5,-140.0,10.606601,0.342310421208853,961.90505895,50.46518570635183,50.46518570635183,0.6007685220788753
340,340,2021-12-06 19:00:00+00:00,1419.5941666666663,TN397_740,prochloro,22.74990343,1.256872036,-2.45736879,-140.0041407,26.09459631,35.250275,2168.181188,0.055247357,19,-2.5,-140.0,10.620018,0.2060030729641563,1399.4621190000005,37.61348860406296,37.61348860406296,0.6096847595808133
341,341,2021-12-06 20:00:00+00:00,1322.5096666666666,TN397_740,prochloro,79.02762608,3.512987739,-2.470572436,-139.9988927,26.12616325,35.25137004,2092.943133,0.044452654,20,-2.5,-140.0,10.478731,0.1979113848636728,1354.2175795500002,26.492202330478,26.492202330478,0.6178374536177713
342,342,2021-12-06 21:00:00+00:00,1197.018,TN397_740,prochloro,103.5353919,4.744825357,-2.492800833,-140.0102471,26.12381833,35.25236042,1963.3412,0.045828052,21,-2.5,-140.0,10.589551,0.2519165999707426,1231.0149324,20.26985666203591,20.26985666203591,0.6222865615819729
343,343,2021-12-06 22:00:00+00:00,1389.7333333333331,TN397_740,prochloro,111.6344542,5.512635644,-2.491140833,-140.0130908,26.13233792,35.252315,2237.0902,0.049381131,22,-2.5,-140.0,10.385159,0.2832673829443801,1402.6555554,23.301084301187256,23.301084301187256,0.6194884899857264
344,344,2021-12-06 23:00:00+00:00,1043.8415,TN397_740,prochloro,121.3983096,6.748656415,-2.482763194,-140.0253778,26.15501778,35.25292194,1754.54535,0.055591025,23,-2.5,-140.0,10.545727,0.3300812905162065,1100.09993445,33.12899770025961,33.12899770025961,0.6132977541563732
345,345,2021-12-07 01:00:00+00:00,361.12483333333336,TN397_740,prochloro,113.1975449,7.408297376,-2.476930128,-140.0332693,26.16566635,35.25351699,654.8185,0.065445742,1,-2.5,-140.0,10.323897,0.4895143651338366,413.9275305000001,58.84668606760534,58.84668606760534,0.5927362743874656
346,346,2021-12-07 02:00:00+00:00,132.27731666666668,TN397_740,prochloro,116.2771123,7.678514095,-2.465740417,-140.0418225,26.13983917,35.25356667,238.78675,0.066036333,2,-2.5,-140.0,10.113268,0.5916991896945962,150.4761126,72.52759880791403,72.52759880791403,0.5833616850309795
347,347,2021-12-07 03:00:00+00:00,5.764189433333333,TN397_740,prochloro,114.2670918,7.327721666,-2.453573319,-140.0509925,26.13557367,35.2537715,10.80605882,0.064128014,3,-2.5,-140.0,9.602484,0.8558423475642206,14.72399775,86.20518222508251,86.20518222508251,0.5812122103939369
348,348,2021-12-07 04:00:00+00:00,0.08065435,TN397_740,prochloro,115.2854508,6.98895229,-2.445127917,-140.0573775,26.1501675,35.25384333,0.022,0.060623021,4,-2.5,-140.0,9.261837,1.0321911948691622,0.0133379999999999,100.17684741919444,79.82315258080556,0.5752540298587939
349,349,2021-12-07 05:00:00+00:00,0.0813501833333333,TN397_740,prochloro,112.2740766,6.40093656,-2.442961667,-140.0566942,26.15516542,35.2533875,0.0229,0.057011705,5,-2.5,-140.0,9.088833,1.076197034717674,0.01438965,113.80790377107527,66.19209622892473,0.5840476996635391
350,350,2021-12-07 06:00:00+00:00,0.08173575,TN397_740,prochloro,107.7948397,5.612294367,-2.433836923,-140.0469102,26.13461606,35.25357484,0.01965,0.052064592,6,-2.5,-140.0,9.4042225,1.0806059529743144,0.01213245,126.9954513192012,53.004548680798806,0.5943276616256216
351,351,2021-12-07 07:00:00+00:00,-0.0083658166666666,TN397_740,prochloro,99.25694282,4.127121385,-2.404946053,-140.0107259,26.11118333,35.25379956,0.020421053,0.041580178,7,-2.5,-140.0,9.687532,1.0708345368451242,0.01313565,139.25602701455043,40.74397298544957,0.6048449766942879
352,352,2021-12-07 08:00:00+00:00,-0.0134553333333333,TN397_740,prochloro,93.33412618,3.619391958,-2.357647917,-140.1381529,26.10464625,35.25360208,0.01995,0.03877887,8,-2.5,-140.0,9.896186,1.0291577585618397,0.0122892,149.39924526848586,30.600754731514144,0.6130817561635817
353,353,2021-12-07 09:00:00+00:00,-0.0131490333333333,TN397_740,prochloro,81.61677352,2.901608107,-2.336857917,-140.1538246,26.15161083,35.25368958,0.0259,0.035551615,9,-2.5,-140.0,10.066033,0.9997864172224076,0.015675,154.6953035111442,25.3046964888558,0.6176172079589028
354,354,2021-12-07 10:00:00+00:00,-0.0126265333333333,TN397_740,prochloro,72.96565692,2.484116068,-2.333176538,-140.1524853,26.17048388,35.25367183,0.02275,0.034045004,10,-2.5,-140.0,9.51863,0.9742506634340266,0.0137939999999999,152.20564306513657,27.79435693486343,0.6135494388474595
355,355,2021-12-07 11:00:00+00:00,-0.01261765,TN397_740,prochloro,68.63188118,2.49826016,-2.30529375,-140.1840862,26.16983708,35.2531475,0.0219,0.03640087,11,-2.5,-140.0,8.951126,0.9329917513775337,0.01407615,143.49442794743993,36.50557205256007,0.6053096527744684
356,356,2021-12-07 12:00:00+00:00,-0.0117275166666666,TN397_740,prochloro,54.57038889,2.15318696,-2.28356125,-140.22034,26.14248042,35.2524525,0.02425,0.039457057,12,-2.5,-140.0,8.723429,0.881247348930088,0.01501665,131.84105800101003,48.15894199898997,0.5958242899205712
357,357,2021-12-07 13:00:00+00:00,-0.0124582166666666,TN397_740,prochloro,42.99638811,1.67378781,-2.261887917,-140.258845,26.1350903,35.25183899,0.02595,0.038928568,13,-2.5,-140.5,8.585029,0.8066909831518555,0.0155496,119.37119006557788,60.62880993442212,0.5855384141966087
358,358,2021-12-07 14:00:00+00:00,0.1886432751666666,TN397_740,prochloro,32.86795493,1.281349546,-2.260632353,-140.2615015,26.14522941,35.25231912,0.146647059,0.038984766,14,-2.5,-140.5,8.408736,0.7237567674202571,0.4713158999999999,105.8927680700859,74.1072319299141,0.5758052252609014
359,359,2021-12-07 15:00:00+00:00,65.01331499999999,TN397_740,prochloro,76.56468753,2.858280569,-2.113520833,-140.36065,26.11734167,35.2547375,316.918,0.037331578,15,-2.0,-140.5,8.55295,0.6072552190038326,92.76405435,92.22800212986688,87.77199787013312,0.5798311521761952
360,360,2021-12-07 16:00:00+00:00,511.6191666666666,TN397_740,prochloro,102.9354866,3.997533092,-2.040983077,-140.41378,26.11811263,35.25700048,1481.69555,0.038835325,16,-2.0,-140.5,8.400101,0.3904534968590293,891.8735166,78.45986918802049,78.45986918802049,0.574712102937387
361,361,2021-12-07 17:00:00+00:00,970.6198333333334,TN397_740,prochloro,105.8064136,4.300096327,-1.851600833,-140.5455979,26.07377042,35.2664075,1927.99155,0.040641169,17,-2.0,-140.5,8.546042,0.2406535549359195,1250.43083385,64.74310682193072,64.74310682193072,0.582398500060257
362,362,2021-12-07 18:00:00+00:00,1398.1793333333333,TN397_740,prochloro,111.0507779,4.798058263,-1.651154583,-140.6799208,26.02541292,35.28485625,2324.68175,0.043205985,18,-1.5,-140.5,8.092642,0.1522577439724876,1414.3839666,51.50087181565156,51.50087181565156,0.5910362953240362
