cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,S3,Realtime DB,Discrete samples,Beads,Metadata,Filtration,Gating,Curation,Zenodo,Database size (Gb),References,Comments
HOT313,KM1912,HOT-313,10.7284/908384,Aloha,2019,July,181 - 185,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,EVT files abnormally small; SFL file extra null/eol characters and variable swap ; few if any beads
HOT314,KM1915,HOT-314,10.7284/908387,Aloha,2019,August,214 - 217,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,EVT files abnormally small; SFL file extra null/eol characters and variable swap; SCOPEops reported that laser was drifting and frequently had to be aligned 3-4 clicks up and 1-2 clicks right every 6 hours; Synechococcus oddly flat w/r/t chl
HOT315,KM1917,HOT-315,10.7284/908383,Aloha,2019,September,246 - 250,740,R/V Kilo Moana,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Laser behaving normally but camera occasionally failing; low event rates 
KM1919,KM1919,Rocap,10.7284/908382,San Diego - Manzanillo,2019,September,264 - 273,751,R/V Kilo Moana,Kellogg,TRUE,FALSE,FALSE,TRUE,,,,,,,,Aquarium pump used for waste malfunctioned
KM1920,KM1920,Rocap,10.7284/908379,Manzanillo - San Diego,2019,October,274 - 295,751,R/V Kilo Moana,Kellogg,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Peristaltic pump used for waste; clogging issues
SR1917,SR1917,PaCMAHN,10.7284/908343,Guam - San Francisco,2019,November,310 - 332,751,R/V Sally Ride,Tabata,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Early days have laser out-of-focus to compensate for D1/D2
KM1923_751,KM1923_751,SeaFlow testing,10.7284/908277,Papeete - Honolulu,2019,December,341 - 350,751,R/V Kilo Moana,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,Beads move; laser spot not quite right--will come home for maintenance; underway data starts 2 - 2.5 hours after SeaFlow data
KM1923_740,KM1923_740,SeaFlow testing,10.7284/908277,Papeete - Honolulu,2019,December,341 - 350,740v2,R/V Kilo Moana,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,New laser!  Underway data starts 2 - 2.5 hours after SeaFlow data; Two fsc positions for beads
HOT317,KM1924,HOT-317,10.7284/908363,Aloha,2019,December,352 - 355,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Beads streaky at times and huge shift in fsc mid-cruise
HOT318,KM2001,HOT-318,10.7284/908352,Aloha,2020,January,6 - 10,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TS and geo data captured by Chris don't cover first 48 - 52 timepoints. 2 beads settings?
